Time,SVID,S4_index,Dlat_IPP,Dlong_IPP,VTEC,Phi60_Sig1_60
2025-09-16 16:01:00,5,0.05,6.908962208001314,33.39522934943848,44.117732722258665,0.038
2025-09-16 16:01:00,13,0.03,11.131651285428973,37.87227686970288,46.88722269268069,0.026
2025-09-16 16:01:00,14,0.06,13.66100161759082,40.402411880223674,43.74574899292855,0.032
2025-09-16 16:01:00,15,0.08,13.788136202662525,34.582309944924404,53.892751327302356,0.049
2025-09-16 16:01:00,17,,10.004971703895427,40.507037269825744,40.31177776164209,0.023
2025-09-16 16:01:00,19,,8.53591091220102,39.71714959979572,40.24884055937349,0.023
2025-09-16 16:01:00,21,0.04,4.973311106164747,36.30155833686732,40.96767008667074,0.029
2025-09-16 16:01:00,22,0.01,12.53323874904975,39.03508037266734,45.26929808331165,0.027
2025-09-16 16:01:00,30,0.06,11.125641404840556,42.69532229057835,37.0981021525446,0.033
2025-09-16 16:01:00,40,0.02,6.202426302488334,38.8410287542238,58.40068552230678,0.091
2025-09-16 16:01:00,41,0.01,9.36969741299886,37.5414717467291,69.12066539259685,0.115
2025-09-16 16:01:00,42,0.05,14.258888855131124,35.1970768350186,69.48098235023954,0.145
2025-09-16 16:01:00,52,0.1,13.5425333467925,34.66414971200694,67.79452743117596,0.151
2025-09-16 16:01:00,54,0.04,5.191717054741999,42.19555631857243,53.42388079448381,0.13
2025-09-16 16:01:00,61,0.05,10.24495934919446,45.01001935473225,49.94330292955715,0.103
2025-09-16 16:01:00,77,0.02,9.319153139479635,39.1574338998759,46.85585114420127,0.02
2025-09-16 16:01:00,78,0.04,5.9827987083162615,41.611001095858335,39.24169128797967,0.027
2025-09-16 16:01:00,91,0.0,8.405933902336638,34.45617963117862,50.23372750428769,0.029
2025-09-16 16:01:00,97,,11.169777469130853,37.765440484820736,52.55853446380212,0.022
2025-09-16 16:01:00,99,0.0,12.698356593537849,36.576666750342326,53.68561683462293,0.03
2025-09-16 16:01:00,100,0.0,14.818949392430072,41.93358230794611,50.041234354987814,0.04
2025-09-16 16:01:00,121,0.06,8.538268313396813,35.24704480228678,-705.183521068821,0.079
2025-09-16 16:01:00,123,0.01,8.538742925095061,37.791813976847905,-177.29117988913342,0.061
2025-09-16 16:01:00,127,0.02,8.508907930302533,39.8401098504021,-112.92918883785718,0.356
2025-09-16 16:01:00,128,0.04,8.518371583664623,42.452509173008046,-128.09248449090822,0.2
2025-09-16 16:01:00,129,0.05,8.491646358603331,43.624671286344864,,0.039
2025-09-16 16:01:00,134,0.19,8.468194743385872,43.79882713431948,,0.102
2025-09-16 16:01:00,136,0.03,8.529610023995538,36.284739621160284,-121.32116048914456,0.424
2025-09-16 16:01:00,201,0.01,8.292764517929866,42.04531583636496,-33.122220244803835,0.029
2025-09-16 16:01:00,142,0.02,8.2082850022019,42.64981070101883,31.980648628755322,0.051
2025-09-16 16:01:00,145,,8.399285172247641,40.136530339555044,36.53888487322881,0.026
2025-09-16 16:01:00,147,,13.842636179052912,43.69792050881723,44.587881300780936,0.057
