Time,SVID,S4_index,Dlat_IPP,Dlong_IPP,VTEC
2025-09-17 22:31:00,5,0.04,10.931425542273825,42.46942644948299,19.7487278717235
2025-09-17 22:31:00,12,0.06,8.649468197489476,41.147621182516254,11.31152416197051
2025-09-17 22:31:00,18,0.05,8.917449692548066,36.63503911877115,10.416467764236018
2025-09-17 22:31:00,23,0.13,4.48370553341144,38.302822592576625,7.050995927934456
2025-09-17 22:31:00,25,0.09,9.94956670765407,39.480774824940895,11.03397363585053
2025-09-17 22:31:00,28,0.04,11.244913215286669,33.56724495645663,17.057060447322133
2025-09-17 22:31:00,29,0.32,13.56874639417624,38.227321320650276,24.5996750088535
2025-09-17 22:31:00,46,0.05,5.5585840259233015,40.76402273213987,24.58052153881695
2025-09-17 22:31:00,47,0.04,8.992563387693998,39.08398846700901,
2025-09-17 22:31:00,48,0.11,12.482473282498265,37.323237096623735,43.11967619180819
2025-09-17 22:31:00,58,0.13,12.402022525165734,37.144864929175675,43.41686527620653
2025-09-17 22:31:00,59,0.12,8.325032293278886,33.42072361932926,25.725882871849866
2025-09-17 22:31:00,72,0.04,7.121222908537719,43.03769084133084,11.722513898045793
2025-09-17 22:31:00,83,0.1,7.180540726046561,35.92302940919207,13.921187485243598
2025-09-17 22:31:00,85,0.05,10.213581977758743,38.31390560308397,18.818103767371937
2025-09-17 22:31:00,97,0.21,13.538728826155713,36.85574808356888,25.14889478119212
2025-09-17 22:31:00,100,0.09,10.259097008709798,39.88048507837915,15.878444957258454
2025-09-17 22:31:00,104,0.15,14.49127500593028,41.50285584823867,33.03060356954458
2025-09-17 22:31:00,121,0.22,8.538268313396813,35.24704480228678,-730.5833308594167
2025-09-17 22:31:00,123,0.03,8.538742925095061,37.791813976847905,-209.5514197297564
2025-09-17 22:31:00,127,0.08,8.459774993751846,39.88136386558202,-155.4506701174158
2025-09-17 22:31:00,128,0.09,8.518371583664623,42.452509173008046,-146.30279550135637
2025-09-17 22:31:00,129,0.07,8.491646358603331,43.624671286344864,
2025-09-17 22:31:00,134,0.14,8.468194743385872,43.79882713431948,
2025-09-17 22:31:00,136,0.08,8.529610023995538,36.284739621160284,-153.21530358125344
2025-09-17 22:31:00,201,0.05,8.593736305443564,41.99842616759463,-54.76709176322749
2025-09-17 22:31:00,142,0.03,8.432582228594432,42.56483691860849,8.731522611472244
2025-09-17 22:31:00,145,0.07,8.399285172247641,40.136530339555044,5.715660441643441
2025-09-17 22:31:00,148,0.06,11.755534810237986,42.680634042833084,16.301347645890136
2025-09-17 22:31:00,150,0.07,11.095672643223638,45.635004907616825,14.086114433150854
2025-09-17 22:31:00,152,0.2,11.131923303328417,35.82901930694392,14.30057980941757
2025-09-17 22:31:00,153,0.04,10.705607843655642,42.00635039991354,15.6091163361695
2025-09-17 22:31:00,161,0.11,2.1703846683955605,39.88703251555994,
2025-09-17 22:31:00,162,0.06,6.35013625573539,44.16740330504517,
2025-09-17 22:31:00,164,0.09,11.338199309611014,36.58897177728196,
2025-09-17 22:31:00,166,0.04,8.531813437019535,38.52973930982721,
2025-09-17 22:31:00,174,0.31,9.922695098729454,32.52130783351312,
2025-09-17 22:31:00,175,0.23,14.872122686107513,42.379237015778216,
2025-09-17 22:31:00,226,0.07,12.227718444069742,37.62871731918931,
2025-09-17 22:31:00,227,0.07,3.903462023781776,41.79302319247369,
2025-09-17 22:31:00,242,0.03,8.593736305443564,41.99842616759463,
2025-09-17 22:32:00,5,0.05,10.931425542273825,42.46942644948299,15.711521034860207
2025-09-17 22:32:00,12,0.03,8.608923584716548,41.1390069944245,12.350059160238557
2025-09-17 22:32:00,18,0.06,8.960314404650534,36.70812561054724,12.796426420771608
2025-09-17 22:32:00,23,0.11,4.476007552508518,38.38379766459864,7.600689145530537
2025-09-17 22:32:00,25,0.07,9.937535323067346,39.49553191003347,10.646119624302285
2025-09-17 22:32:00,28,0.07,11.154719049515467,33.53088731595808,16.459154955108072
2025-09-17 22:32:00,29,0.18,13.56874639417624,38.227321320650276,23.88652888985605
2025-09-17 22:32:00,46,0.05,5.401370266967273,40.766846999609676,24.797765741336416
2025-09-17 22:32:00,47,0.05,8.962864673035174,39.06993913590981,
2025-09-17 22:32:00,48,0.07,12.482473282498265,37.323237096623735,40.25416175387349
2025-09-17 22:32:00,58,0.09,12.54232166985465,37.14937560120703,48.41669796472157
2025-09-17 22:32:00,59,0.11,8.417546006748436,33.40705269597648,20.834051446903615
2025-09-17 22:32:00,72,0.04,7.121222908537719,43.03769084133084,14.112484409333101
2025-09-17 22:32:00,83,0.12,7.243662120389166,36.015949257455354,14.20751453344249
2025-09-17 22:32:00,85,0.05,10.213581977758743,38.31390560308397,18.847083460207934
2025-09-17 22:32:00,97,0.2,13.538728826155713,36.85574808356888,28.553968680064727
2025-09-17 22:32:00,100,0.06,10.259097008709798,39.88048507837915,16.469487406741873
2025-09-17 22:32:00,104,0.18,14.443712768447295,41.59899010637562,33.290651622598574
2025-09-17 22:32:00,121,0.24,8.538268313396813,35.24704480228678,-731.0769906343669
2025-09-17 22:32:00,123,0.03,8.538742925095061,37.791813976847905,-210.3254773795766
2025-09-17 22:32:00,127,0.05,8.459774993751846,39.88136386558202,-145.93895020798877
2025-09-17 22:32:00,128,0.08,8.518371583664623,42.452509173008046,-153.68930719635745
2025-09-17 22:32:00,129,0.03,8.491646358603331,43.624671286344864,
2025-09-17 22:32:00,134,0.13,8.468194743385872,43.79882713431948,
2025-09-17 22:32:00,136,0.07,8.529610023995538,36.284739621160284,-151.31236781927583
