Time,SVID,S4_index,Dlat_IPP,Dlong_IPP,VTEC,Phi60_Sig1_60
2025-09-17 20:31:00,5,0.01,5.689683928629735,42.45640135042144,14.921205245030148,0.041
2025-09-17 20:31:00,11,0.06,12.103599214787113,41.36643168100549,27.688409299239243,0.025
2025-09-17 20:31:00,12,0.1,12.452790335016196,39.58011331058262,28.39583980284699,0.037
2025-09-17 20:31:00,24,0.11,7.9992785652223946,38.53108684430204,11.885500025246438,0.097
2025-09-17 20:31:00,25,0.02,14.112346974546528,36.810063639206795,32.81387195304319,0.041
2025-09-17 20:31:00,29,0.32,10.341289273556246,34.869821465740124,13.656055340799327,0.053
2025-09-17 20:31:00,46,0.03,10.669774488919778,40.27291928301239,46.07443510033764,0.081
2025-09-17 20:31:00,47,0.52,14.589763288008829,37.79280365726792,,0.082
2025-09-17 20:31:00,53,0.08,6.814444819337969,43.47194779117471,33.0255921635032,0.136
2025-09-17 20:31:00,57,0.11,10.307532340090669,38.394471059741626,74.65121034774612,0.086
2025-09-17 20:31:00,58,0.01,7.392270711717864,36.658582113818845,43.40528994017294,0.115
2025-09-17 20:31:00,72,0.06,11.301017207499369,42.25742980941701,25.278699340478337,0.029
2025-09-17 20:31:00,77,0.14,9.041037388163932,31.676314462721173,14.813280436023712,0.049
2025-09-17 20:31:00,78,0.05,5.107479065716465,36.08751073382627,16.55426669936558,0.032
2025-09-17 20:31:00,85,0.08,7.101077091162065,38.32277881967003,14.281943228324947,0.064
2025-09-17 20:31:00,100,0.31,13.252659847776366,38.11638768499544,26.736443935827428,0.068
2025-09-17 20:31:00,104,0.03,9.87355646579897,40.0337982381837,22.402799387213076,0.026
2025-09-17 20:31:00,121,0.17,8.538268313396813,35.24704480228678,-703.7972162213578,0.107
2025-09-17 20:31:00,123,0.12,8.538742925095061,37.791813976847905,-207.69010734944757,0.111
2025-09-17 20:31:00,127,0.04,8.441068522711676,39.86969933718072,-143.97065582438762,0.295
2025-09-17 20:31:00,128,0.07,8.518371583664623,42.452509173008046,-146.7881378539532,0.251
2025-09-17 20:31:00,129,0.04,8.491646358603331,43.624671286344864,,0.03
2025-09-17 20:31:00,134,0.2,8.468194743385872,43.79882713431948,,0.131
2025-09-17 20:31:00,136,0.07,8.529610023995538,36.284739621160284,-150.76498012478103,0.229
2025-09-17 20:31:00,201,,8.462029472539388,42.084808932552086,-51.00144171604707,0.024
2025-09-17 20:31:00,142,0.0,8.2082850022019,42.64981070101883,14.203923570701226,0.045
2025-09-17 20:31:00,145,0.02,8.353322297395524,40.110562687091544,15.050998452931575,0.034
2025-09-17 20:31:00,149,0.04,3.78329518655686,42.51178288620876,13.218781267650607,0.053
2025-09-17 20:31:00,152,0.08,6.69411927754939,34.77664222595674,7.755745768945762,0.04
2025-09-17 20:31:00,153,0.07,8.434227740193798,44.82282608898498,15.995455724869164,0.072
2025-09-17 20:31:00,166,0.17,11.858189504648884,37.82296769066084,,0.048
2025-09-17 20:31:00,175,0.15,11.086599141359322,38.57833524862018,,0.076
2025-09-17 20:31:00,226,0.03,8.759804831200455,36.327679345978986,,0.023
2025-09-17 20:31:00,227,0.02,9.016644855628973,40.51538995037842,,0.021
2025-09-17 20:31:00,242,0.02,8.462029472539388,42.084808932552086,,0.023
2025-09-17 20:32:00,5,0.02,5.689683928629735,42.45640135042144,13.947183678034625,0.04
2025-09-17 20:32:00,11,0.08,12.103599214787113,41.36643168100549,26.136579948346622,0.03
2025-09-17 20:32:00,12,0.15,12.438661058771673,39.639679301749894,27.99019477043422,0.043
2025-09-17 20:32:00,24,0.09,7.93688715089851,38.53827084661463,14.331860350600058,0.065
2025-09-17 20:32:00,25,0.08,14.112346974546528,36.810063639206795,34.30171254951092,0.042
2025-09-17 20:32:00,29,0.44,10.40860596577494,34.8918440759421,13.308226688708093,0.063
2025-09-17 20:32:00,46,0.03,10.643985257369485,40.30032524068598,45.23407593440916,0.067
2025-09-17 20:32:00,47,0.77,14.589763288008829,37.79280365726792,,0.06
2025-09-17 20:32:00,53,0.06,6.814444819337969,43.47194779117471,33.29757664194923,0.088
2025-09-17 20:32:00,57,0.14,10.307532340090669,38.394471059741626,62.895319022188666,0.096
2025-09-17 20:32:00,58,0.01,7.4292524505845625,36.62858851347833,42.85292972157513,0.094
2025-09-17 20:32:00,72,0.04,11.240969857437248,42.295515632509755,25.538310580807305,0.029
2025-09-17 20:32:00,77,0.05,9.041037388163932,31.676314462721173,15.067334058277416,0.05
2025-09-17 20:32:00,78,0.06,4.962785747918365,35.990781113632,17.602839823279588,0.034
