Time,SVID,S4_index,Dlat_IPP,Dlong_IPP,VTEC,Phi60_Sig1_60
2025-09-17 04:01:00,8,,12.892099168600838,35.74948357608787,10.061042600073204,0.036
2025-09-17 04:01:00,10,0.11,13.674737922791126,39.702477150423945,9.285909815806539,0.049
2025-09-17 04:01:00,16,,6.62965554774018,35.374347789706306,7.624849166849825,0.027
2025-09-17 04:01:00,26,,3.0572953640881866,37.28215872305822,11.647086969380195,0.035
2025-09-17 04:01:00,27,,10.231749332288983,37.86600997381329,7.842344146023188,0.023
2025-09-17 04:01:00,28,0.08,3.6583391279965465,42.323269291224925,14.159913464571604,0.029
2025-09-17 04:01:00,32,,9.64038161974425,39.947732983008464,10.092269220305118,0.025
2025-09-17 04:01:00,38,0.05,4.36480354919203,35.47032287225555,,0.051
2025-09-17 04:01:00,44,0.04,12.500656063142992,39.85171638489463,35.8735119747474,0.115
2025-09-17 04:01:00,45,0.01,9.076323463681948,38.1500493758947,33.20765124529059,0.119
2025-09-17 04:01:00,58,0.04,8.468194743385872,43.79882713431948,34.61075487773987,0.132
2025-09-17 04:01:00,59,0.03,12.372331507849243,40.2082610638212,27.407584957482612,0.047
2025-09-17 04:01:00,74,0.02,6.973286712712344,38.75243432791714,12.590440389137953,0.029
2025-09-17 04:01:00,76,0.03,4.7092478554534285,37.271979930787005,12.68316545965591,0.029
2025-09-17 04:01:00,80,0.04,14.992167177529163,35.40978315760878,11.515773086393105,0.046
2025-09-17 04:01:00,82,,13.743530384277662,38.37310005666238,11.97375226154941,0.052
2025-09-17 04:01:00,89,0.01,10.039967497866924,40.82798312168583,13.295444943755516,0.078
2025-09-17 04:01:00,94,0.04,9.252910268847941,33.55118886939081,12.280892717922304,0.052
2025-09-17 04:01:00,101,0.01,5.5585840259233015,36.81597726786012,13.577919918952743,0.029
2025-09-17 04:01:00,103,0.04,12.00033090059739,43.38812059020659,13.933447831260384,0.038
2025-09-17 04:01:00,121,0.06,8.538268313396813,35.24704480228678,-718.4244229777631,0.116
2025-09-17 04:01:00,123,,8.538742925095061,37.791813976847905,-208.17165961762248,0.103
2025-09-17 04:01:00,127,0.1,8.59110577855405,39.81712383319963,-154.5604079804402,0.401
2025-09-17 04:01:00,128,0.05,8.518371583664623,42.452509173008046,-148.72352359150028,0.288
2025-09-17 04:01:00,129,0.07,8.491646358603331,43.624671286344864,,0.045
2025-09-17 04:01:00,134,0.19,8.468194743385872,43.79882713431948,,0.112
2025-09-17 04:01:00,136,0.05,8.529610023995538,36.284739621160284,-162.4809562296976,0.24
2025-09-17 04:01:00,201,0.05,8.760171703613718,42.02208190687106,-49.44390334100173,0.033
2025-09-17 04:01:00,142,0.02,8.835650517311217,42.49231246365258,10.002706431259318,0.044
2025-09-17 04:01:00,145,,8.65764785938473,40.11195913363876,10.556100092481023,0.028
2025-09-17 04:01:00,151,0.02,6.98242766884032,43.76429213147668,13.527089064538899,0.031
2025-09-17 04:01:00,154,0.06,14.394503605515583,41.69421544502729,7.24533883201202,0.04
2025-09-17 04:01:00,168,0.01,11.981888297432295,38.32514919905238,,0.022
2025-09-17 04:01:00,173,0.02,11.565437763818135,39.4615446198915,,0.022
2025-09-17 04:01:00,223,0.0,8.969584122436826,37.46060636692403,,0.02
2025-09-17 04:01:00,225,,8.942741915137711,41.1059925210606,,0.021
2025-09-17 04:01:00,242,,8.760171703613718,42.02208190687106,,0.023
2025-09-17 04:02:00,8,,12.839149393275866,35.68261849956363,10.371113894235172,0.035
2025-09-17 04:02:00,10,0.11,13.674737922791126,39.702477150423945,12.077511956917494,0.047
2025-09-17 04:02:00,16,0.01,6.543037151328282,35.25640317258286,9.050684873372449,0.027
2025-09-17 04:02:00,26,,3.0572953640881866,37.28215872305822,12.070120032144246,0.037
2025-09-17 04:02:00,27,,10.215656403844935,37.846282978244325,8.180705549679026,0.022
2025-09-17 04:02:00,28,,3.720006594690855,42.41806229939637,16.598366475549877,0.03
2025-09-17 04:02:00,32,,9.660250028779213,39.93820122312269,9.50893327273479,0.024
2025-09-17 04:02:00,38,0.07,4.36480354919203,35.47032287225555,,0.064
2025-09-17 04:02:00,44,0.04,12.500656063142992,39.85171638489463,35.97968263867508,0.12
2025-09-17 04:02:00,45,0.01,9.120483545375956,38.14918961717509,33.36157192448021,0.074
2025-09-17 04:02:00,58,0.05,8.382093172912299,43.78618663390872,34.26632474842343,0.114
2025-09-17 04:02:00,59,0.04,12.372331507849243,40.2082610638212,24.29482339022725,0.046
2025-09-17 04:02:00,74,0.02,7.048831319230838,38.753756020778944,13.571916550816402,0.029
2025-09-17 04:02:00,76,0.02,4.7092478554534285,37.271979930787005,12.877860618380291,0.028
2025-09-17 04:02:00,80,0.04,14.76392384972009,35.54442976229608,11.48152659903111,0.045
2025-09-17 04:02:00,82,0.03,13.585379798928315,38.38757121751733,12.628455711888039,0.051
2025-09-17 04:02:00,89,0.02,10.07493816637035,40.81129908140492,14.513454880226323,0.078
2025-09-17 04:02:00,94,0.03,9.162743471406491,33.550127896220765,11.698616088009674,0.057
2025-09-17 04:02:00,101,0.03,5.5585840259233015,36.81597726786012,14.003883992890561,0.028
2025-09-17 04:02:00,103,0.04,11.920743044967441,43.4382756445448,15.59207689490091,0.037
2025-09-17 04:02:00,121,0.05,8.538268313396813,35.24704480228678,-722.4352395876678,0.078
2025-09-17 04:02:00,123,,8.538742925095061,37.791813976847905,-210.8512346411191,0.084
2025-09-17 04:02:00,127,0.1,8.59110577855405,39.81712383319963,-145.77678174511723,0.316
