Time,SVID,S4_index,Dlat_IPP,Dlong_IPP,VTEC,Phi60_Sig1_60
2025-09-17 01:31:00,10,,8.703598273755187,37.775874760786614,8.180881687485886,0.028
2025-09-17 01:31:00,16,0.09,13.487146200562506,34.260039597843324,15.542312884484742,0.054
2025-09-17 01:31:00,18,0.1,14.079785567616579,40.25837427747957,14.439256466395438,0.049
2025-09-17 01:31:00,23,0.02,10.831673452347816,39.227052337321496,12.434545579712458,0.022
2025-09-17 01:31:00,26,,9.486072499625715,36.32909051865915,10.979687562909351,0.029
2025-09-17 01:31:00,29,,9.02013249850709,42.75942030017174,12.571229663062335,0.025
2025-09-17 01:31:00,32,0.05,3.551615544841619,39.0814006574052,7.218844944524926,0.034
2025-09-17 01:31:00,43,0.0,9.437991096568654,40.92969134242335,,0.063
2025-09-17 01:31:00,44,0.02,6.283798139609882,39.82396979897506,33.591765587939726,0.139
2025-09-17 01:31:00,47,0.04,4.525689376657854,37.298232587031904,,0.067
2025-09-17 01:31:00,48,0.02,8.747924873123774,35.449337160923655,28.377298871900916,0.05
2025-09-17 01:31:00,58,0.16,16.046201001940965,39.93069338712631,33.394189724432415,0.105
2025-09-17 01:31:00,82,0.02,11.267492371546602,34.21653701677398,12.43582874371264,0.056
2025-09-17 01:31:00,89,,5.252594408791157,41.1119392013125,10.727525773342723,0.069
2025-09-17 01:31:00,93,0.01,7.472868877014264,38.87652108922255,10.513863321343882,0.02
2025-09-17 01:31:00,99,0.01,8.582725588187596,44.397668055751524,15.176433014718887,0.034
2025-09-17 01:31:00,101,,10.129440471358903,37.059443545618976,17.409307809412955,0.023
2025-09-17 01:31:00,103,0.04,13.450717458911823,38.79,18.768038826894784,0.033
2025-09-17 01:31:00,121,,8.538268313396813,35.24704480228678,-723.0966084368478,0.09
2025-09-17 01:31:00,123,0.02,8.538742925095061,37.791813976847905,-216.7004017422513,0.076
2025-09-17 01:31:00,127,,8.527094290339246,39.850582588136355,-155.34330637533517,0.345
2025-09-17 01:31:00,128,0.03,8.518371583664623,42.452509173008046,-140.29984193752517,0.261
2025-09-17 01:31:00,129,0.03,8.491646358603331,43.624671286344864,,0.036
2025-09-17 01:31:00,134,0.17,8.468194743385872,43.79882713431948,,0.121
2025-09-17 01:31:00,136,0.01,8.529610023995538,36.284739621160284,-154.4314596464186,0.214
2025-09-17 01:31:00,201,0.07,8.704560354734406,42.015172801387216,-71.98654167144338,0.038
2025-09-17 01:31:00,142,0.0,8.628458909016723,42.59649654707108,9.706991277958927,0.047
2025-09-17 01:31:00,145,0.01,8.542981627152884,40.135012241128486,6.929132185618726,0.027
2025-09-17 01:31:00,150,0.06,6.897141862067623,43.725694192028826,7.773284498062229,0.064
2025-09-17 01:31:00,153,0.09,14.246124771632427,41.49254676109496,15.011790032937267,0.056
2025-09-17 01:31:00,154,0.0,8.69808853952546,39.93001670501851,13.46807853832725,0.035
2025-09-17 01:31:00,163,0.05,8.5139728987642,34.121685482323386,,0.029
2025-09-17 01:31:00,165,0.02,5.110939758366183,37.08855465079641,,0.029
2025-09-17 01:31:00,173,0.01,7.279455342248006,39.016542279796404,,0.018
2025-09-17 01:31:00,174,0.06,11.511558235869304,43.89403270196536,,0.028
2025-09-17 01:31:00,224,0.03,10.335491386819735,41.05045957135042,,0.022
2025-09-17 01:31:00,225,0.04,13.025411045560155,39.00045692549996,,0.024
2025-09-17 01:31:00,242,0.01,8.704560354734406,42.015172801387216,,0.023
2025-09-17 01:32:00,10,,8.721135061322341,37.76882974793961,9.297144452429611,0.026
2025-09-17 01:32:00,16,0.09,13.323416122663552,34.433536996864426,14.783231723709783,0.047
2025-09-17 01:32:00,18,0.09,14.053716404154006,40.34736517209533,18.23718862014887,0.046
2025-09-17 01:32:00,23,0.02,10.899145952044073,39.2442807080208,11.5702806836032,0.023
2025-09-17 01:32:00,26,,9.443622519321647,36.32296386032253,8.322582556531852,0.029
2025-09-17 01:32:00,29,,9.02013249850709,42.75942030017174,14.239221591503167,0.024
2025-09-17 01:32:00,32,0.03,3.551615544841619,39.0814006574052,8.898425346471253,0.028
2025-09-17 01:32:00,43,0.0,9.474805271457566,40.92367649358009,,0.068
2025-09-17 01:32:00,44,0.03,6.376122823265471,39.79041097229482,35.0755870846273,0.12
2025-09-17 01:32:00,47,0.03,4.525689376657854,37.298232587031904,,0.063
2025-09-17 01:32:00,48,0.01,8.690447496137336,35.45649479905698,27.083292925410532,0.062
2025-09-17 01:32:00,58,0.05,16.046201001940965,39.93069338712631,29.8833413668119,0.088
2025-09-17 01:32:00,82,0.04,11.267492371546602,34.21653701677398,12.388301858985534,0.057
2025-09-17 01:32:00,89,0.02,5.293178031148686,41.17922249749888,12.431582179454216,0.063
2025-09-17 01:32:00,93,0.01,7.405926159920016,38.88004417783136,10.437102095011948,0.021
2025-09-17 01:32:00,99,0.04,8.679290199210355,44.40684236162192,15.725123869220058,0.036
2025-09-17 01:32:00,101,0.01,10.099468648333216,37.041717375769984,17.659453725528916,0.027
2025-09-17 01:32:00,103,0.05,13.450717458911823,38.79,18.64610935909667,0.032
2025-09-17 01:32:00,121,,8.538268313396813,35.24704480228678,-720.1880732422431,0.109
2025-09-17 01:32:00,123,0.01,8.538742925095061,37.791813976847905,-212.3852419641528,0.059
2025-09-17 01:32:00,127,,8.527094290339246,39.850582588136355,-154.7263193665689,0.333
2025-09-17 01:32:00,128,0.04,8.518371583664623,42.452509173008046,-146.6019791433681,0.235
2025-09-17 01:32:00,129,0.03,8.491646358603331,43.624671286344864,,0.037
2025-09-17 01:32:00,134,0.16,8.468194743385872,43.79882713431948,,0.106
2025-09-17 01:32:00,136,,8.529610023995538,36.284739621160284,-155.68363836386806,0.331
2025-09-17 01:32:00,201,0.04,8.704560354734406,42.015172801387216,-67.25884059405061,0.03
2025-09-17 01:32:00,142,0.02,8.628458909016723,42.59649654707108,9.07192393447262,0.05
2025-09-17 01:32:00,145,0.01,8.542981627152884,40.135012241128486,5.318277223590535,0.032
2025-09-17 01:32:00,150,,6.812531414071404,43.68562343281604,7.258242161321692,0.063
2025-09-17 01:32:00,153,,14.246124771632427,41.49254676109496,12.415997074834928,0.066
2025-09-17 01:32:00,154,,8.73762175384942,39.943927112007756,10.340141369642375,0.031
2025-09-17 01:32:00,163,0.03,8.5139728987642,34.121685482323386,,0.03
2025-09-17 01:32:00,165,0.01,5.0822276549206675,37.1588615217523,,0.028
2025-09-17 01:32:00,173,,7.279455342248006,39.016542279796404,,0.024
2025-09-17 01:32:00,174,0.06,11.423360393582337,43.935204772609254,,0.031
2025-09-17 01:32:00,224,0.02,10.335491386819735,41.05045957135042,,0.025
2025-09-17 01:32:00,225,0.04,13.025411045560155,39.00045692549996,,0.027
2025-09-17 01:32:00,242,0.01,8.704560354734406,42.015172801387216,,0.023
2025-09-17 01:33:00,10,,8.75655943869229,37.755671829006545,9.783380944955947,0.026
2025-09-17 01:33:00,16,0.11,13.247774004400563,34.359404492924654,14.892751961438291,0.05
2025-09-17 01:33:00,18,0.06,14.053716404154006,40.34736517209533,15.39257027213585,0.038
2025-09-17 01:33:00,23,0.04,10.899145952044073,39.2442807080208,12.039801826357593,0.024
2025-09-17 01:33:00,26,,9.443622519321647,36.32296386032253,9.122647895664917,0.029
2025-09-17 01:33:00,29,,8.951801963348677,42.756854244081026,13.310562753313906,0.025
2025-09-17 01:33:00,32,0.01,3.5574732033819125,39.1783998862071,7.717274041361866,0.026
2025-09-17 01:33:00,43,0.02,9.51151025230684,40.9170102737028,,0.081
2025-09-17 01:33:00,44,0.03,6.393774923127594,39.838269760719974,31.669325692086534,0.155
2025-09-17 01:33:00,47,0.01,4.334282065299773,37.32816781388463,,0.045
2025-09-17 01:33:00,48,0.03,8.633101947888754,35.464662071581365,26.78983585331228,0.059
2025-09-17 01:33:00,58,0.08,15.751666123658344,40.00452604817884,28.54635816882962,0.132
2025-09-17 01:33:00,82,0.03,11.42629074728757,34.08817491513357,14.006927013734742,0.053
2025-09-17 01:33:00,89,,5.293178031148686,41.17922249749888,11.230713110016485,0.07
2025-09-17 01:33:00,93,0.01,7.405926159920016,38.88004417783136,10.902029953458444,0.018
2025-09-17 01:33:00,99,0.01,8.679290199210355,44.40684236162192,15.830882984305205,0.033
2025-09-17 01:33:00,101,,10.099468648333216,37.041717375769984,15.99407549077722,0.023
2025-09-17 01:33:00,103,0.04,13.450046918243926,38.867817845766695,19.771378825591704,0.033
2025-09-17 01:33:00,121,,8.538268313396813,35.24704480228678,-718.681396559244,0.087
2025-09-17 01:33:00,123,0.0,8.538742925095061,37.791813976847905,-213.53175019638954,0.071
2025-09-17 01:33:00,127,,8.527094290339246,39.850582588136355,-155.01705112373,0.396
2025-09-17 01:33:00,128,0.05,8.518371583664623,42.452509173008046,-147.7328933101725,0.216
2025-09-17 01:33:00,129,0.02,8.491646358603331,43.624671286344864,,0.035
2025-09-17 01:33:00,134,0.19,8.468194743385872,43.79882713431948,,0.111
2025-09-17 01:33:00,136,,8.529610023995538,36.284739621160284,-158.67508470574234,0.369
2025-09-17 01:33:00,201,0.02,8.704560354734406,42.015172801387216,-75.33731134362041,0.027
2025-09-17 01:33:00,142,0.0,8.644862776707454,42.471775579881424,7.437705340411963,0.049
2025-09-17 01:33:00,145,,8.542981627152884,40.135012241128486,5.3264633865822075,0.028
2025-09-17 01:33:00,150,0.04,6.812531414071404,43.68562343281604,7.18114642692394,0.053
2025-09-17 01:33:00,153,0.01,14.246124771632427,41.49254676109496,14.887425346655943,0.064
2025-09-17 01:33:00,154,,8.757562101276125,39.95035787127243,11.05528540253058,0.036
2025-09-17 01:33:00,163,0.02,8.433710737089207,34.133397941180995,,0.025
2025-09-17 01:33:00,165,0.02,4.94108295319065,37.10220283433836,,0.028
2025-09-17 01:33:00,173,0.01,7.352527339763337,39.03899412675744,,0.019
2025-09-17 01:33:00,174,0.03,11.423360393582337,43.935204772609254,,0.028
2025-09-17 01:33:00,224,0.02,10.374248133735309,41.028512983306726,,0.02
2025-09-17 01:33:00,225,0.01,12.892306464166328,39.061135499923914,,0.025
2025-09-17 01:33:00,242,0.01,8.704560354734406,42.015172801387216,,0.021
2025-09-17 01:34:00,10,,8.774436273582838,37.749563003965044,8.946183871248154,0.029
2025-09-17 01:34:00,16,0.11,13.247774004400563,34.359404492924654,12.978898309442846,0.056
2025-09-17 01:34:00,18,0.06,14.0261184949148,40.43585443097792,12.850582540985318,0.043
2025-09-17 01:34:00,23,0.05,10.899145952044073,39.2442807080208,12.92869268225357,0.034
2025-09-17 01:34:00,26,,9.401073532816588,36.31758989518809,12.300707240803986,0.032
2025-09-17 01:34:00,29,0.02,8.951801963348677,42.756854244081026,11.917253604931819,0.031
2025-09-17 01:34:00,32,,3.758016173415292,39.164497560600395,8.019027151455063,0.033
2025-09-17 01:34:00,43,0.02,9.563699700405182,40.98644521548487,,0.071
2025-09-17 01:34:00,44,0.05,6.482793140316884,39.80413205700837,33.95106788207031,0.147
2025-09-17 01:34:00,47,0.02,4.334282065299773,37.32816781388463,,0.046
2025-09-17 01:34:00,48,0.02,8.633101947888754,35.464662071581365,27.239803363862933,0.05
2025-09-17 01:34:00,58,0.05,15.751666123658344,40.00452604817884,30.32704220774459,0.126
2025-09-17 01:34:00,82,0.06,11.42629074728757,34.08817491513357,14.754473890107537,0.059
2025-09-17 01:34:00,89,0.02,5.293178031148686,41.17922249749888,12.865774562163253,0.081
2025-09-17 01:34:00,93,0.01,7.337756856993779,38.88363071875524,10.04677770309165,0.026
2025-09-17 01:34:00,99,0.04,8.78952849350472,44.21137671039882,16.205095060771924,0.036
2025-09-17 01:34:00,101,0.0,10.069196107121355,37.02452817355096,15.401356862421094,0.029
2025-09-17 01:34:00,103,0.04,13.450046918243926,38.867817845766695,21.330377493458133,0.036
2025-09-17 01:34:00,121,,8.538268313396813,35.24704480228678,-723.1439456755417,0.101
2025-09-17 01:34:00,123,0.01,8.538742925095061,37.791813976847905,-208.20834035679985,0.072
2025-09-17 01:34:00,127,0.03,8.527094290339246,39.850582588136355,-154.24020838996515,0.279
2025-09-17 01:34:00,128,0.05,8.518371583664623,42.452509173008046,-158.02481059537652,0.238
2025-09-17 01:34:00,129,0.03,8.491646358603331,43.624671286344864,,0.04
2025-09-17 01:34:00,134,0.16,8.468194743385872,43.79882713431948,,0.116
2025-09-17 01:34:00,136,,8.529610023995538,36.284739621160284,-154.08454584289757,0.31
2025-09-17 01:34:00,201,0.03,8.704560354734406,42.015172801387216,-64.00814686421141,0.032
2025-09-17 01:34:00,142,,8.644862776707454,42.471775579881424,7.868529784908875,0.055
2025-09-17 01:34:00,145,0.0,8.542981627152884,40.135012241128486,4.990830703923595,0.035
2025-09-17 01:34:00,150,,6.812531414071404,43.68562343281604,10.060457951862205,0.054
2025-09-17 01:34:00,153,0.0,14.443712768447295,41.59899010637562,15.482861004906967,0.064
2025-09-17 01:34:00,154,,8.777610215614567,39.95643628978163,9.028576561613422,0.034
2025-09-17 01:34:00,163,0.04,8.433710737089207,34.133397941180995,,0.03
2025-09-17 01:34:00,165,0.03,4.94108295319065,37.10220283433836,,0.033
2025-09-17 01:34:00,173,0.01,7.352527339763337,39.03899412675744,,0.027
2025-09-17 01:34:00,174,0.05,11.33446955362568,43.97478239852293,,0.034
2025-09-17 01:34:00,224,0.01,10.457197090538898,41.082466044268685,,0.027
2025-09-17 01:34:00,225,0.04,12.892306464166328,39.061135499923914,,0.032
2025-09-17 01:34:00,242,,8.704560354734406,42.015172801387216,,0.029
2025-09-17 01:35:00,10,,8.80952318718718,37.7998378814144,9.520434304775167,0.028
2025-09-17 01:35:00,16,0.11,13.09531780674181,34.526378960805985,11.489659288130426,0.076
2025-09-17 01:35:00,18,0.05,14.0261184949148,40.43585443097792,17.33093852697658,0.036
2025-09-17 01:35:00,23,0.03,10.96795089881865,39.26185760619269,11.63106551478354,0.027
2025-09-17 01:35:00,26,0.01,9.358438511688975,36.312969977101275,12.881924181918489,0.027
2025-09-17 01:35:00,29,0.02,8.8750198381177,42.88877395263408,11.412812584558756,0.032
2025-09-17 01:35:00,32,,3.758016173415292,39.164497560600395,5.965282449026059,0.03
2025-09-17 01:35:00,43,0.0,9.601472064894931,40.97820221537663,,0.096
2025-09-17 01:35:00,44,0.03,6.482793140316884,39.80413205700837,32.441362212371935,0.097
2025-09-17 01:35:00,47,0.05,4.159847348702943,37.27526869061665,,0.045
2025-09-17 01:35:00,48,0.04,8.575905574699693,35.4738360634098,24.42610900829232,0.062
2025-09-17 01:35:00,58,0.04,15.729704089638085,40.12442837313417,29.85346593484278,0.11
2025-09-17 01:35:00,82,0.06,11.506874546168993,34.12946380547504,14.805915622449442,0.055
2025-09-17 01:35:00,89,0.04,5.462840786063872,41.16331812055409,10.555088257150173,0.079
2025-09-17 01:35:00,93,0.01,7.337756856993779,38.88363071875524,10.649828727486744,0.022
2025-09-17 01:35:00,99,0.03,8.78952849350472,44.21137671039882,15.743591428474268,0.035
2025-09-17 01:35:00,101,0.0,10.004971703895427,37.072962730174254,15.961134526104178,0.027
2025-09-17 01:35:00,103,0.04,13.44803551175156,38.94561082455189,19.78108465387414,0.035
2025-09-17 01:35:00,121,0.02,8.538268313396813,35.24704480228678,-732.9353153762347,0.086
2025-09-17 01:35:00,123,0.02,8.538742925095061,37.791813976847905,-214.21081413705804,0.059
2025-09-17 01:35:00,127,0.11,8.527094290339246,39.850582588136355,-138.20789445005312,0.358
2025-09-17 01:35:00,128,0.07,8.518371583664623,42.452509173008046,-159.96551515322602,0.187
2025-09-17 01:35:00,129,0.07,8.491646358603331,43.624671286344864,,0.039
2025-09-17 01:35:00,134,0.12,8.468194743385872,43.79882713431948,,0.098
2025-09-17 01:35:00,136,0.02,8.529610023995538,36.284739621160284,-155.33124285239072,0.284
2025-09-17 01:35:00,201,0.05,8.704560354734406,42.015172801387216,-57.3790028823996,0.033
2025-09-17 01:35:00,142,0.01,8.644862776707454,42.471775579881424,7.276146173725622,0.054
2025-09-17 01:35:00,145,0.0,8.567709355933179,40.076674702982984,3.5193108632253804,0.029
2025-09-17 01:35:00,150,,6.812531414071404,43.68562343281604,10.373123985808643,0.052
2025-09-17 01:35:00,153,0.05,14.49127500593028,41.50285584823867,12.86087650074911,0.067
2025-09-17 01:35:00,154,,8.818005363448526,39.96752860583786,9.028576561613422,0.031
2025-09-17 01:35:00,163,0.02,8.35366182027017,34.14651490012349,,0.029
2025-09-17 01:35:00,165,0.02,4.912631329501889,37.17545529914816,,0.029
2025-09-17 01:35:00,173,0.01,7.420130850346537,39.029456081620296,,0.02
2025-09-17 01:35:00,174,0.05,11.33446955362568,43.97478239852293,,0.029
2025-09-17 01:35:00,224,0.01,10.457197090538898,41.082466044268685,,0.023
